time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2018-01-31 16:02:04.715 UTC, ,125,3158477,824,12624, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1077,1,469,469,1, ,2,4, ,49,49, , , , , ,1,10, , , , , , , , , , , , , , , , , , , , , , , , ,1517414524206, , , , ,3145728, , , , ,29,3,36,3,3,3, , ,3,4, , , , , , , ,38,1, , ,12288,3,1087,3, , , , , , ,2,10,33048920, , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-31 16:02:04.818 UTC, ,125,3162805,1056,16952, , ,4, ,9, , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,1077,1,469,469, , , , , ,49,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1517414524206, , , , ,3145728, , , , ,4,4,13,4,2,4, , ,3,4, , , , , , , , , , , ,4096,2,535,4, , , , , , ,1,5,12422880, , , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,2,2, , , , , , , 
2018-01-31 16:02:04.870 UTC, ,125,3159069,1056,13216, , ,3, ,22,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,20,8, , , , , , , , , , , , , ,2891,2, ,1800, , , , , ,34,34, , , , , ,1,39, , , , , , , , , , , , , , , , , , , , , , , , ,1517414524839, , , , ,3145728, , , ,16,0, , , ,2, , , ,3, , , , ,16, ,2048,1, , , , ,100818,27, , , , , , , , ,3,15,23404408, , , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-31 16:02:05.080 UTC, ,125,3175749,1904,29896, , ,6, ,20,1,0.05, , , , , , , ,6,6, , , ,2,4,6, ,2,1, , , , , , , , , , , , , ,2891,2, ,1800, , , , , ,34,34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1517414524839, , , , ,3145728, , , ,3,4,9,30,9,3,9, , ,3,9, , , ,3,1, , , , , , ,10286,6,1461,9, , , , , , , , ,41435544, , , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,3, , , ,4, , , , , , , 
2019-08-28 09:45:07.592 UTC, ,125,3162205,1520,16352, , ,3, ,32,3,0.09, , , , , , , ,3,3, ,2, ,2,1,4, ,30,11, , , , , , , , , , , , , ,6408,3, ,4537, , , , , ,32,32, , , , , ,1,76, , , , , , , , , , , , , , , , , , , , , , , , ,1566985507172, , , , ,3145728, , , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,101022,30, , , , , , , , ,1,6,36583200,1, , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-08-28 09:45:07.665 UTC, ,125,3165469,1520,19616, , ,4,1,8,1,0.13, , , , , , , ,4,4, , ,1,2,2,5, ,2,1, , , , , , , , , , , , , ,6408,3, ,4537, , , , , ,32,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1566985507172, , , , ,3145728, , , ,4,0, , , ,1, , , ,3, , , , ,4,1, , , , , , ,8238,5, , , , , , , , , , ,42050960,1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4, , , , , , , , 
2019-08-28 09:45:07.702 UTC, ,125,3162205,1520,16352, , ,3, ,32,3,0.09, , , , , , , ,3,3, ,2, ,2,1,4, ,30,11, , , , , , , , , , , , , ,6408,3, ,4537, , , , , ,32,32, , , , , ,1,76, , , , , , , , , , , , , , , , , , , , , , , , ,1566985507680, , , , ,3145728, , , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,101022,30, , , , , , , , ,1,6,54963304,1, , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-08-28 09:45:08.127 UTC, ,125,3175013,1904,29160, , ,6,1,20,3,0.15, , , , , , , ,6,6, , ,1,2,4,6, ,12,9, , , , , , , , , , , , , ,6408,3, ,4537, , , , , ,32,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1566985507680, , , , ,3145728, , , ,16,52,4,173,4,3,4, , ,3,4, , , ,16,1, , , , , , ,20805,19,502,4, , , , , , ,1,36,20525272,1, , , , , , ,25, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,1, ,3, , ,2,2, , , , , , , 
2019-08-28 10:40:55.811 UTC, ,125,3165373,1520,19520, , ,4, ,40,4,0.10, , , , , , , ,4,4, ,2, ,2,2,5, ,34,13, , , , , , , , , , , , , ,8599,4, ,7091, , , , , ,25,25, , , , , ,2,94, , , , , , , , , , , , , , , , , , , , , , , , ,1566988855776, , , , ,3145728, , , ,23,0, , , ,3, , , ,3, , , , ,23,1,2048,1, , , , ,123694,37, , , , , , ,2,167,10,128,483355816, , , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4, , , , , , , , 
2019-08-28 10:40:55.842 UTC, ,125,3165373,1520,19520, , ,4, , , , , , , , , , , ,4,4, , , ,2,2,5, , , , , , , , , , , , , , , , ,8599,4, ,7091, , , , , ,25,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1566988855776, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,483355816, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
