person|country|tagClass|minPathDistance|maxPathDistance
19791209310731|Germany|MusicalArtist|3|5
19791209304651|Germany|MusicalArtist|3|6
28587302327781|Germany|MusicalArtist|3|7
26388279072666|Germany|MusicalArtist|3|8
28587302325203|Germany|MusicalArtist|4|6
32985348836606|Germany|MusicalArtist|4|7
6597069772672|Germany|MusicalArtist|4|8
8796093022410|Germany|MusicalArtist|5|7
6597069771455|Germany|MusicalArtist|5|8
2199023256744|Germany|MusicalArtist|6|8
30786325581842|Germany|OfficeHolder|3|5
2199023257284|Germany|OfficeHolder|3|6
32985348841531|Germany|OfficeHolder|3|7
10995116285432|Germany|OfficeHolder|3|8
15393162792710|Germany|OfficeHolder|4|6
6597069776133|Germany|OfficeHolder|4|7
2199023259025|Germany|OfficeHolder|4|8
21990232556826|Germany|OfficeHolder|5|7
4398046519130|Germany|OfficeHolder|5|8
10995116284233|Germany|OfficeHolder|6|8
32985348838300|Germany|Writer|3|5
13194139538042|Germany|Writer|3|6
24189255814175|Germany|Writer|3|7
19791209305199|Germany|Writer|3|8
8796093026752|Germany|Writer|4|6
17592186048577|Germany|Writer|4|7
8796093022386|Germany|Writer|4|8
4398046517243|Germany|Writer|5|7
30786325584411|Germany|Writer|5|8
28587302322946|Germany|Writer|6|8
10995116283253|Germany|BritishRoyalty|3|5
24189255815343|Germany|BritishRoyalty|3|6
13194139538992|Germany|BritishRoyalty|3|7
32985348836143|Germany|BritishRoyalty|3|8
30786325582277|Germany|BritishRoyalty|4|6
21990232559412|Germany|BritishRoyalty|4|7
32985348836147|Germany|BritishRoyalty|4|8
32985348843447|Germany|BritishRoyalty|5|7
26388279069919|Germany|BritishRoyalty|5|8
30786325579380|Germany|BritishRoyalty|6|8
10995116282284|Pakistan|MusicalArtist|3|5
6597069767184|Pakistan|MusicalArtist|3|6
17592186047327|Pakistan|MusicalArtist|3|7
28587302324309|Pakistan|MusicalArtist|3|8
24189255818301|Pakistan|MusicalArtist|4|6
10995116278031|Pakistan|MusicalArtist|4|7
9005|Pakistan|MusicalArtist|4|8
19791209310305|Pakistan|MusicalArtist|5|7
32985348840312|Pakistan|MusicalArtist|5|8
1274|Pakistan|MusicalArtist|6|8
26388279072219|Pakistan|OfficeHolder|3|5
8309|Pakistan|OfficeHolder|3|6
19791209303197|Pakistan|OfficeHolder|3|7
13194139537679|Pakistan|OfficeHolder|3|8
10995116288051|Pakistan|OfficeHolder|4|6
619|Pakistan|OfficeHolder|4|7
19791209308082|Pakistan|OfficeHolder|4|8
15393162798990|Pakistan|OfficeHolder|5|7
10995116286820|Pakistan|OfficeHolder|5|8
8150|Pakistan|OfficeHolder|6|8
24189255817669|Pakistan|Writer|3|5
21990232558057|Pakistan|Writer|3|6
10995116278625|Pakistan|Writer|3|7
28587302327709|Pakistan|Writer|3|8
26388279071325|Pakistan|Writer|4|6
26388279071839|Pakistan|Writer|4|7
10995116286552|Pakistan|Writer|4|8
8796093026534|Pakistan|Writer|5|7
3962|Pakistan|Writer|5|8
32985348838025|Pakistan|Writer|6|8
2199023265126|Pakistan|BritishRoyalty|3|5
2519|Pakistan|BritishRoyalty|3|6
24189255816700|Pakistan|BritishRoyalty|3|7
15393162793237|Pakistan|BritishRoyalty|3|8
6597069772469|Pakistan|BritishRoyalty|4|6
2199023257390|Pakistan|BritishRoyalty|4|7
4465|Pakistan|BritishRoyalty|4|8
8796093023866|Pakistan|BritishRoyalty|5|7
26388279077192|Pakistan|BritishRoyalty|5|8
17592186051053|Pakistan|BritishRoyalty|6|8
24189255815047|Russia|MusicalArtist|3|5
6597069767013|Russia|MusicalArtist|3|6
10995116280527|Russia|MusicalArtist|3|7
17592186049053|Russia|MusicalArtist|3|8
6739|Russia|MusicalArtist|4|6
35184372097776|Russia|MusicalArtist|4|7
32985348840278|Russia|MusicalArtist|4|8
26388279067047|Russia|MusicalArtist|5|7
30786325587674|Russia|MusicalArtist|5|8
19791209310731|Russia|MusicalArtist|6|8
15393162793550|Russia|OfficeHolder|3|5
21990232565135|Russia|OfficeHolder|3|6
21990232558291|Russia|OfficeHolder|3|7
10995116281656|Russia|OfficeHolder|3|8
10995116285282|Russia|OfficeHolder|4|6
30786325583918|Russia|OfficeHolder|4|7
28587302324835|Russia|OfficeHolder|4|8
21990232560085|Russia|OfficeHolder|5|7
19791209304034|Russia|OfficeHolder|5|8
8796093028168|Russia|OfficeHolder|6|8
10995116280995|Russia|Writer|3|5
19791209309339|Russia|Writer|3|6
26388279075899|Russia|Writer|3|7
8337|Russia|Writer|3|8
15393162790796|Russia|Writer|4|6
2199023261235|Russia|Writer|4|7
3911|Russia|Writer|4|8
28587302329676|Russia|Writer|5|7
10995116278184|Russia|Writer|5|8
28587302326386|Russia|Writer|6|8
4398046521820|Russia|BritishRoyalty|3|5
6597069773483|Russia|BritishRoyalty|3|6
17592186045497|Russia|BritishRoyalty|3|7
2199023255922|Russia|BritishRoyalty|3|8
28587302324938|Russia|BritishRoyalty|4|6
2199023262855|Russia|BritishRoyalty|4|7
28587302328667|Russia|BritishRoyalty|4|8
15393162797312|Russia|BritishRoyalty|5|7
32985348842589|Russia|BritishRoyalty|5|8
8796093028072|Russia|BritishRoyalty|6|8
30786325585162|Philippines|MusicalArtist|3|5
17592186050485|Philippines|MusicalArtist|3|6
4398046513814|Philippines|MusicalArtist|3|7
24189255817889|Philippines|MusicalArtist|3|8
17592186045813|Philippines|MusicalArtist|4|6
