date|lengthThreshold|languages
1311273000000|20|ar
1311273000000|20|tk
1311273000000|20|uz
1311273000000|113|tk
1311273000000|113|uz
1314815400000|20|uz
1314815400000|40|tk
1316629800000|113|uz
1316629800000|240|uz
1317407400000|40|tk
1318012200000|113|uz
1318012200000|97|tk
1318012200000|240|uz
1318617000000|40|ar
1319221800000|20|tk
1319221800000|40|uz
1322677800000|240|uz
1323282600000|20|uz
1323282600000|40|tk
1323282600000|113|ar
1323887400000|97|ar
1324492200000|40|tk
1325961000000|113|tk
1326565800000|20|tk
1326565800000|40|uz
1326565800000|113|uz
1326565800000|97|ar
1327170600000|20|uz
1327170600000|40|ar
1327170600000|240|uz
