date|lengthThreshold|languages
1311273000000|20|ar
1311273000000|20|tk
1311273000000|20|tk
1311273000000|20|uz
1311273000000|20|uz
1311273000000|20|uz
1311273000000|20|uz
1311273000000|20|uz
1311273000000|20|uz
1311273000000|20|uz
1311273000000|20|uz
1311273000000|20|uz;tk
1311273000000|20|uz;tk
1311273000000|40|ar
1311273000000|40|tk
1311273000000|40|tk
1311273000000|40|uz
1311273000000|40|uz
1311273000000|40|uz
1311273000000|40|uz
1311273000000|40|uz
1311273000000|40|uz
1311273000000|40|uz
1311273000000|40|uz
1311273000000|40|uz;tk
1311273000000|40|uz;tk
1311273000000|113|ar
1311273000000|113|tk
1311273000000|113|tk
1311273000000|113|uz
1311273000000|113|uz
1311273000000|113|uz
1311273000000|113|uz
1311273000000|113|uz
1311273000000|113|uz
1311273000000|113|uz
1311273000000|113|uz
1311273000000|113|uz;tk
1311273000000|113|uz;tk
1311273000000|97|ar
1311273000000|97|tk
1311273000000|97|tk
1311273000000|97|uz
1311273000000|97|uz
1311273000000|97|uz
1311273000000|97|uz
1311273000000|97|uz
1311273000000|97|uz
1311273000000|97|uz
1311273000000|97|uz
1311273000000|97|uz;tk
1311273000000|97|uz;tk
1311273000000|240|ar
1311273000000|240|tk
1311273000000|240|tk
1311273000000|240|uz
1311273000000|240|uz
1311273000000|240|uz
1311273000000|240|uz
1311273000000|240|uz
1311273000000|240|uz
1311273000000|240|uz
1311273000000|240|uz
1311273000000|240|uz;tk
1311273000000|240|uz;tk
1312137000000|20|ar
1312137000000|20|tk
1312137000000|20|tk
1312137000000|20|uz
1312137000000|20|uz
1312137000000|20|uz
1312137000000|20|uz
1312137000000|20|uz
1312137000000|20|uz
1312137000000|20|uz
1312137000000|20|uz
1312137000000|20|uz;tk
1312137000000|20|uz;tk
1312137000000|40|ar
1312137000000|40|tk
1312137000000|40|tk
1312137000000|40|uz
1312137000000|40|uz
1312137000000|40|uz
1312137000000|40|uz
1312137000000|40|uz
1312137000000|40|uz
1312137000000|40|uz
1312137000000|40|uz
1312137000000|40|uz;tk
1312137000000|40|uz;tk
1312137000000|113|ar
1312137000000|113|tk
1312137000000|113|tk
1312137000000|113|uz
1312137000000|113|uz
1312137000000|113|uz
1312137000000|113|uz
1312137000000|113|uz
1312137000000|113|uz
1312137000000|113|uz
1312137000000|113|uz
1312137000000|113|uz;tk
1312137000000|113|uz;tk
1312137000000|97|ar
1312137000000|97|tk
1312137000000|97|tk
1312137000000|97|uz
1312137000000|97|uz
1312137000000|97|uz
1312137000000|97|uz
1312137000000|97|uz
1312137000000|97|uz
1312137000000|97|uz
1312137000000|97|uz
1312137000000|97|uz;tk
1312137000000|97|uz;tk
1312137000000|240|ar
1312137000000|240|tk
1312137000000|240|tk
1312137000000|240|uz
1312137000000|240|uz
1312137000000|240|uz
1312137000000|240|uz
1312137000000|240|uz
1312137000000|240|uz
1312137000000|240|uz
1312137000000|240|uz
1312137000000|240|uz;tk
1312137000000|240|uz;tk
1312741800000|20|ar
1312741800000|20|tk
1312741800000|20|tk
