country|endDate
Ethiopia|1356978600000
Spain|1356978600000
Egypt|1356978600000
Niger|1356978600000
Burma|1356978600000
Romania|1356978600000
Democratic_Republic_of_the_Congo|1356978600000
Kazakhstan|1356978600000
Moldova|1356978600000
Belarus|1356978600000
Hungary|1356978600000
Senegal|1356978600000
Cambodia|1356978600000
Tunisia|1356978600000
Sweden|1356978600000
Canada|1356978600000
Czech_Republic|1356978600000
Yemen|1356978600000
Chile|1356978600000
Thailand|1356978600000
Australia|1356978600000
Greece|1356978600000
Cameroon|1356978600000
South_Korea|1356978600000
Cuba|1356978600000
England|1356978600000
Algeria|1356978600000
Afghanistan|1356978600000
Nepal|1356978600000
Malaysia|1356978600000
South_Africa|1356978600000
Ukraine|1356978600000
Colombia|1356978600000
Venezuela|1356978600000
Iran|1356978600000
Portugal|1356978600000
United_Kingdom|1356978600000
Kenya|1356978600000
Turkey|1356978600000
Tanzania|1356978600000
Italy|1356978600000
Taiwan|1356978600000
Madagascar|1356978600000
Poland|1356978600000
